reference_number,alias_local_name,site,location,gazetted_name,alias_corrected,waterbody_type,waterbody_id,watershed_code_50k
1,125231_us_ef1,125231,us,Tributary to Parsnip River,,stream,00000PARS,236-450800-15400-00000-0000-0000-000-000-000-000-000-000
2,125231_us_ef2,125231,us,Tributary to Parsnip River,,stream,00000PARS,236-450800-15400-00000-0000-0000-000-000-000-000-000-000
3,125231_us_ef3,125231,us,Tributary to Parsnip river,,stream,00000PARS,236-450800-15400-00000-0000-0000-000-000-000-000-000-000
4,125231_ds_ef1,125231,ds,Tributary to Parsnip River,,stream,00000PARS,236-450800-15400-00000-0000-0000-000-000-000-000-000-000
5,125231_ds_ef2,125231,ds,Tributary to Parsnip River,,stream,00000PARS,236-450800-15400-00000-0000-0000-000-000-000-000-000-000
6,125231_ds_ef3,125231,ds,Tributary to Parsnip River,,stream,00000PARS,236-450800-15400-00000-0000-0000-000-000-000-000-000-000
7,125261_ds_ef1,125261,ds,Fern Creek,,stream,00000PARS,236-358400-00000-00000-0000-0000-000-000-000-000-000-000
8,125261_ds_ef2,125261,ds,Fern Creek,,stream,00000PARS,236-358400-00000-00000-0000-0000-000-000-000-000-000-000
9,125261_ds_ef3,125261,ds,Fern Creek,,stream,00000PARS,236-358400-00000-00000-0000-0000-000-000-000-000-000-000
10,125261_us_ef1,125261,us,Fern Creek,,stream,00000PARS,236-358400-00000-00000-0000-0000-000-000-000-000-000-000
11,125261_us_ef2,125261,us,Fern Creek,,stream,00000PARS,236-358400-00000-00000-0000-0000-000-000-000-000-000-000
12,125261_us_ef3,125261,us,Fern Creek,,stream,00000PARS,236-358400-00000-00000-0000-0000-000-000-000-000-000-000
13,198666_us3,198666,us3,Tributary to McLeod Lake,,stream,00000CARP,230-906800-55100-00000-0000-0000-000-000-000-000-000-000
14,198666_us2,198666,us2,Tributary to McLeod Lake,,stream,00000CARP,230-906800-55100-00000-0000-0000-000-000-000-000-000-000
15,198687_us,198687,us,42 Mile Creek,,stream,00000CRKD,230-906800-97600-08100-0000-0000-000-000-000-000-000-000
16,198687_ds,198687,ds,42 Mile Creek,,stream,00000CRKD,230-906800-97600-08100-0000-0000-000-000-000-000-000-000
17,198694_us,198694,us,Tributary to Altezega Creek,,stream,00000CRKD,230-906800-97600-14400-0550-0000-000-000-000-000-000-000
18,198723_us,198723,us,Tributary to Altezega Creek,,stream,00000CRKD,230-906800-97600-14400-0550-0000-000-000-000-000-000-000
19,198666_us,198666,us,Tributary to McLeod Lake,,stream,00000CARP,230-906800-55100-00000-0000-0000-000-000-000-000-000-000
20,198714_us,198714,us,Tributary to McLeod Lake,,stream,00000CARP,230-906800-55100-00000-0000-0000-000-000-000-000-000-000
