spdsht,report,description,id_join,id_side
pscis_crossing_id,pscis_crossing_id,NA,NA,NA
my_crossing_reference,my_crossing_reference,NA,NA,NA
crew_members,Crew Members Seperate with Spaces,NA,NA,NA
moti_chris_culvert_id,moti_chris_culvert_id,NA,NA,NA
stream_name,stream_name,NA,NA,NA
road_name,road_name,NA,NA,NA
erosion_issues,Erosion (scale 1 low - 5 high),NA,NA,NA
embankment_fill_issues,"Embankment fill issues 1 (low)
2 (medium)
3 (high)",NA,NA,NA
blockage_issues,Blockage Issues 1 (0-30%) 2 (>30-75%) 3 (>75%),NA,NA,NA
condition_rank,Condition Rank = embankment + blockage,NA,NA,NA
condition_notes,Describe details and rational for condition rankings,NA,NA,NA
likelihood_flood_event_affecting_culvert,Likelihood Flood Event Affecting Culvert (scale 1 low - 5 high),NA,NA,NA
consequence_flood_event_affecting_culvert,Consequence Flood Event Affecting Culvert (scale 1 low - 5 high),NA,NA,NA
climate_change_flood_risk,"Climate Change
Flood Risk
(likelihood x consequence) 1-6 (low)
6-12 (medium)
10-25 (high)
",NA,NA,NA
vulnerability_rank,Vulnerability Rank = Condition Rank + Climate Rank,NA,NA,NA
climate_notes,Describe details and rational for climate risk rankings,NA,NA,NA
traffic_volume,"Traffic Volume
1 (low)
5 (medium)
10 (high)",NA,NA,NA
community_access,"Community Access
- Scale - 1 (high - multiple road access)
5 (medium - some road access)
10 (low - one road access)",NA,NA,NA
cost,"Cost
(scale: 1 high - 10 low)",NA,NA,NA
constructability,"Constructibility
(scale: 1 difficult -10 easy)",NA,NA,NA
fish_bearing,"Fish Bearing
10 (Yes)
0 (No) - see maps for fish points",NA,NA,NA
environmental_impacts,"Environmental Impacts
(scale: 1 high -10 low)",NA,NA,NA
priority_rank,Priority Rank = traffic volume + community access + cost + constructability + fish bearing + environmental impacts,NA,NA,NA
overall_rank,Overall Rank = Vulnerability Rank + Priority Rank,NA,NA,NA
priority_notes,Describe details and rational for priority rankings,NA,NA,NA
